,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,AREA
고산1동,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8881312.38
고산2동,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24523329.28
고산3동,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5315712.45
공릉1동,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1224521.56
공릉2동,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7006762.92
광희동,2.0,3.0,3.0,3.0,2.0,1.0,1.0,741195.05
남산1동,1.0,1.0,1.0,1.0,1.0,1.0,1.0,379731.51
남산2동,1.0,1.0,2.0,2.0,1.0,1.0,1.0,371772.72
남산3동,1.0,1.0,1.0,1.0,1.0,1.0,1.0,408260.33
남산4동,1.0,1.0,1.0,1.0,1.0,1.0,1.0,449545.07
다산동,1.0,1.0,1.0,1.0,1.0,1.0,1.0,521341.19
대봉1동,1.0,1.0,1.0,1.0,1.0,1.0,1.0,565841.23
대봉2동,1.0,2.0,6.0,5.0,1.0,1.0,1.0,273813.87
대신동,1.0,1.0,1.0,1.0,1.0,1.0,1.0,500437.75
동인동,1.0,1.0,1.0,1.0,1.0,1.0,1.0,985061.69
동화동,1.0,1.0,1.0,1.0,1.0,1.0,1.0,328213.5
두산동,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1966650.15
만촌1동,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2830625.94
만촌2동,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1747097.75
만촌3동,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1698247.94
명동,5.0,,,,5.0,1.0,1.0,1053644.29
범물1동,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6059637.72
범물2동,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1952709.6
범어1동,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1117449.02
범어2동,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1142465.68
범어3동,1.0,1.0,1.0,1.0,1.0,1.0,1.0,539889.24
범어4동,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1068155.53
삼덕동,1.0,1.0,1.0,1.0,1.0,1.0,1.0,643036.3
상계10동,1.0,1.0,1.0,1.0,1.0,1.0,1.0,812666.82
상계1동,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5192495.41
상계2동,1.0,1.0,1.0,1.0,1.0,1.0,1.0,624377.16
상계3.4동,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5749582.1
상계5동,1.0,1.0,1.0,1.0,1.0,1.0,1.0,567542.62
상계6.7동,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1434588.18
상계8동,1.0,1.0,1.0,1.0,1.0,1.0,1.0,673099.72
상계9동,1.0,1.0,1.0,1.0,1.0,1.0,1.0,753785.09
상동,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1326653.69
성내1동,1.0,1.0,1.0,1.0,1.0,1.0,1.0,757321.16
성내2동,1.0,2.0,2.0,2.0,1.0,1.0,1.0,985981.3
성내3동,1.0,1.0,1.0,1.0,1.0,1.0,1.0,754903.81
소공동,3.0,,,,3.0,2.0,1.0,893419.62
수성1가동,1.0,1.0,1.0,1.0,1.0,1.0,1.0,585941.0
수성2.3가동,1.0,1.0,1.0,1.0,1.0,1.0,1.0,645723.49
수성4가동,1.0,1.0,1.0,1.0,1.0,1.0,1.0,630984.64
신당5동,1.0,1.0,1.0,1.0,1.0,1.0,1.0,321347.03
신당동,1.0,2.0,2.0,1.0,1.0,1.0,1.0,544408.19
약수동,1.0,1.0,1.0,1.0,1.0,1.0,1.0,490077.51
월계1동,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1166227.69
월계2동,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1980238.59
월계3동,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1142796.41
을지로동,3.0,3.0,4.0,3.0,3.0,2.0,1.0,599091.52
장충동,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1310554.91
중계1동,1.0,1.0,1.0,1.0,1.0,1.0,1.0,628062.77
중계2.3동,1.0,1.0,1.0,1.0,1.0,1.0,1.0,917459.99
중계4동,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1831140.5
중계본동,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1867572.7
중동,1.0,1.0,1.0,1.0,1.0,1.0,1.0,910770.36
중림동,1.0,1.0,2.0,2.0,1.0,1.0,1.0,482329.92
지산1동,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2893870.18
지산2동,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1646499.22
청구동,1.0,1.0,1.0,1.0,1.0,1.0,1.0,336949.37
파동,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5979626.06
필동,2.0,3.0,3.0,3.0,2.0,1.0,1.0,1173378.79
하계1동,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1522251.1
하계2동,1.0,1.0,1.0,1.0,1.0,1.0,1.0,502928.23
황금1동,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2510860.55
황금2동,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1259194.57
황학동,1.0,1.0,1.0,2.0,1.0,1.0,1.0,328678.23
회현동,3.0,5.0,6.0,5.0,3.0,1.0,1.0,847351.57
